nombre,categoria,origen,ingredientes,descripcion,tiempo_preparacion,dificultad
Receta 343,desayuno,Perú,"pan, frijoles, banano, leche, champiñones, pera, fresas, manzana","Receta deliciosa con frijoles, banano, manzana, fresas, champiñones.",53,media
Receta 344,postre,Perú,"mantequilla, miel, arroz, soya, tomate","Receta deliciosa con soya, mantequilla, tomate, arroz.",81,difícil
Receta 345,ensalada,China,"espinaca, maíz, mantequilla, frijoles, pepino, aceite de oliva, arroz, pollo","Receta deliciosa con pepino, aceite de oliva, mantequilla, arroz.",34,fácil
Receta 346,almuerzo,China,"soya, zanahoria, pepino, lentejas, pera","Receta deliciosa con pera, lentejas, pepino, soya.",35,difícil
Receta 347,snack,India,"huevo, pepino, frijoles, aceite de oliva, manzana, zanahoria, leche, vinagre, cebolla, soya","Receta deliciosa con manzana, leche, frijoles, pepino, aceite de oliva.",113,media
Receta 348,bebida,China,"cebolla, aguacate, maíz, limón, pepino, ajo, vinagre, mantequilla, arroz","Receta deliciosa con ajo, mantequilla, maíz, cebolla, vinagre, aguacate.",72,difícil
Receta 349,sopa,Francia,"yogur, salsa de tomate, limón, huevo, lentejas","Receta deliciosa con limón, salsa de tomate, lentejas, yogur.",6,fácil
Receta 350,sopa,Colombia,"huevo, carne, yogur, zanahoria, ajo, soya, papa, fresas, mostaza","Receta deliciosa con zanahoria, carne, huevo, fresas, mostaza, yogur.",82,fácil
Receta 351,snack,Francia,"aceite de oliva, limón, pimienta, maíz, lentejas, manzana, pollo, cebolla","Receta deliciosa con aceite de oliva, manzana, cebolla, limón.",7,media
Receta 352,almuerzo,China,"aceite de oliva, banano, pimienta, pescado, sal, salsa de tomate, limón, mantequilla, champiñones","Receta deliciosa con salsa de tomate, limón, banano, pescado.",83,difícil
Receta 353,desayuno,España,"pasta, limón, pimienta, lentejas, pan, papa","Receta deliciosa con pasta, pan, pimienta, lentejas, papa, limón.",11,fácil
Receta 354,sopa,Colombia,"champiñones, lentejas, cebolla, pepino, aguacate, banano, manzana, mantequilla, frijoles, pimienta","Receta deliciosa con mantequilla, lentejas, cebolla, aguacate, frijoles.",43,difícil
Receta 355,almuerzo,Francia,"papa, pimienta, pasta, pera, manzana, champiñones, banano","Receta deliciosa con pera, champiñones, manzana.",97,difícil
Receta 356,desayuno,México,"aceite de oliva, pollo, pimienta, banano, pepino, vinagre, mantequilla, huevo, yogur, limón","Receta deliciosa con limón, yogur, huevo, vinagre, mantequilla.",58,media
Receta 357,almuerzo,Italia,"pera, vinagre, manzana, arroz, aceite de oliva, fresas, pepino, salsa de tomate","Receta deliciosa con salsa de tomate, aceite de oliva, fresas, pepino, vinagre.",120,difícil
Receta 358,postre,Francia,"pescado, limón, cebolla, leche, ajo, aceite de oliva, aguacate, pan","Receta deliciosa con pan, pescado, aceite de oliva, limón, ajo, cebolla.",59,difícil
Receta 359,ensalada,India,"aguacate, lentejas, zanahoria, pepino, limón","Receta deliciosa con limón, zanahoria, pepino, lentejas.",79,fácil
Receta 360,postre,Japón,"fresas, banano, huevo, sal, zanahoria, pan","Receta deliciosa con fresas, banano, zanahoria, sal, huevo.",92,difícil
Receta 361,desayuno,EE.UU.,"vinagre, fresas, pan, miel, huevo","Receta deliciosa con fresas, vinagre, miel, pan, huevo.",39,difícil
Receta 362,almuerzo,Japón,"leche, cebolla, miel, pescado, zanahoria, aceite de oliva, papa, mostaza, maíz, soya","Receta deliciosa con mostaza, leche, maíz, aceite de oliva.",13,media
Receta 363,postre,EE.UU.,"queso, cebolla, pera, pimienta, pescado","Receta deliciosa con pimienta, cebolla, pescado, queso, pera.",30,media
Receta 364,postre,España,"carne, limón, soya, huevo, vinagre, maíz, manzana, pan, aceite de oliva, fresas","Receta deliciosa con carne, soya, manzana, fresas, pan.",113,difícil
Receta 365,almuerzo,China,"limón, pera, frijoles, mostaza, pepino, manzana, salsa de tomate, miel","Receta deliciosa con frijoles, miel, pera, limón.",68,media
Receta 366,snack,Colombia,"pescado, champiñones, huevo, banano, soya, espinaca, leche, miel, lentejas","Receta deliciosa con soya, espinaca, banano.",56,fácil
Receta 367,bebida,España,"pan, mantequilla, soya, banano, aguacate, ajo, aceite de oliva, maíz","Receta deliciosa con aceite de oliva, soya, banano, maíz, pan, ajo.",115,difícil
Receta 368,desayuno,EE.UU.,"soya, vinagre, champiñones, mostaza, banano, espinaca, sal","Receta deliciosa con soya, vinagre, champiñones, mostaza.",48,difícil
Receta 369,ensalada,México,"pepino, banano, salsa de tomate, maíz, aguacate, pera, soya","Receta deliciosa con banano, soya, salsa de tomate, pera, pepino.",17,difícil
Receta 370,bebida,Francia,"pera, arroz, mostaza, fresas, carne, soya, aceite de oliva, manzana","Receta deliciosa con aceite de oliva, arroz, soya, pera.",97,fácil
Receta 371,almuerzo,Japón,"frijoles, mostaza, aceite de oliva, pepino, pan, fresas","Receta deliciosa con mostaza, pepino, pan, fresas, aceite de oliva, frijoles.",19,fácil
Receta 372,almuerzo,China,"vinagre, pimienta, ajo, sal, zanahoria, banano, manzana, salsa de tomate","Receta deliciosa con vinagre, sal, salsa de tomate, manzana, zanahoria.",93,fácil
Receta 373,postre,Italia,"salsa de tomate, vinagre, arroz, tomate, zanahoria","Receta deliciosa con vinagre, arroz, salsa de tomate.",72,difícil
Receta 374,almuerzo,Japón,"pepino, pimienta, mostaza, aceite de oliva, pera, huevo, soya, champiñones, frijoles, salsa de tomate","Receta deliciosa con pera, pimienta, champiñones.",74,fácil
Receta 375,almuerzo,EE.UU.,"fresas, mostaza, salsa de tomate, cebolla, lentejas, champiñones, miel, huevo","Receta deliciosa con mostaza, cebolla, miel, huevo.",37,media
Receta 376,ensalada,Japón,"huevo, miel, pescado, yogur, frijoles, queso","Receta deliciosa con frijoles, pescado, huevo, miel.",47,difícil
Receta 377,snack,España,"pepino, pescado, manzana, sal, salsa de tomate, frijoles, leche, mantequilla","Receta deliciosa con leche, manzana, sal, salsa de tomate, mantequilla, pepino.",65,fácil
Receta 378,bebida,Colombia,"huevo, yogur, lentejas, frijoles, vinagre, espinaca, pollo, soya","Receta deliciosa con frijoles, soya, huevo, lentejas.",77,difícil
Receta 379,bebida,EE.UU.,"pasta, pera, pescado, ajo, leche, cebolla","Receta deliciosa con pera, leche, pasta, ajo, pescado, cebolla.",12,media
Receta 380,desayuno,Colombia,"vinagre, pescado, tomate, banano, aceite de oliva","Receta deliciosa con pescado, aceite de oliva, tomate, vinagre, banano.",117,media
Receta 381,ensalada,Japón,"espinaca, tomate, aguacate, cebolla, soya, vinagre, huevo","Receta deliciosa con huevo, vinagre, tomate, cebolla, espinaca, aguacate.",106,media
Receta 382,cena,Japón,"champiñones, aceite de oliva, papa, banano, manzana, lentejas, cebolla, pera, pepino","Receta deliciosa con papa, lentejas, manzana, pepino, champiñones, banano.",117,media
Receta 383,snack,Perú,"carne, pera, pasta, zanahoria, pepino, vinagre, sal, manzana, maíz, queso","Receta deliciosa con maíz, zanahoria, queso, sal, pasta, pepino.",49,fácil
Receta 384,ensalada,Perú,"pan, huevo, soya, papa, carne, lentejas, mantequilla, espinaca, yogur, miel","Receta deliciosa con pan, miel, mantequilla, papa, lentejas, huevo.",52,difícil
Receta 385,almuerzo,China,"champiñones, pan, sal, espinaca, miel, mantequilla, limón, papa, mostaza, pasta","Receta deliciosa con sal, pasta, espinaca, champiñones, miel.",105,difícil
Receta 386,ensalada,India,"aceite de oliva, sal, mostaza, champiñones, ajo, vinagre, papa, banano","Receta deliciosa con banano, mostaza, papa, ajo.",74,media
Receta 387,cena,España,"soya, yogur, mantequilla, mostaza, pollo, espinaca, pimienta, aguacate, sal","Receta deliciosa con aguacate, soya, pimienta, yogur.",79,fácil
Receta 388,desayuno,Perú,"pepino, manzana, soya, huevo, mostaza, pollo","Receta deliciosa con soya, manzana, mostaza.",66,fácil
Receta 389,cena,Francia,"aceite de oliva, huevo, maíz, frijoles, salsa de tomate, zanahoria, queso, tomate, miel","Receta deliciosa con miel, tomate, salsa de tomate, queso, huevo.",102,fácil
Receta 390,cena,Colombia,"pan, banano, queso, maíz, cebolla","Receta deliciosa con banano, maíz, pan.",45,fácil
Receta 391,almuerzo,Italia,"ajo, queso, frijoles, papa, pollo, miel, zanahoria, limón, lentejas, leche","Receta deliciosa con leche, miel, limón, papa, zanahoria, ajo.",110,fácil
Receta 392,snack,Colombia,"aceite de oliva, mostaza, pan, papa, mantequilla, pescado, manzana, pera","Receta deliciosa con mostaza, pescado, aceite de oliva, pera.",77,difícil
Receta 393,sopa,Italia,"huevo, queso, tomate, maíz, espinaca, banano, salsa de tomate, pera","Receta deliciosa con maíz, queso, salsa de tomate, tomate, espinaca.",101,fácil
Receta 394,sopa,España,"leche, pera, fresas, mostaza, pepino, banano, yogur, espinaca, pasta","Receta deliciosa con banano, yogur, espinaca.",104,fácil
Receta 395,almuerzo,EE.UU.,"cebolla, ajo, huevo, pera, salsa de tomate, pimienta","Receta deliciosa con pimienta, salsa de tomate, cebolla, ajo, huevo, pera.",115,fácil
Receta 396,ensalada,Francia,"lentejas, pasta, aceite de oliva, queso, vinagre, huevo","Receta deliciosa con pasta, vinagre, queso, huevo, lentejas.",26,fácil
Receta 397,bebida,Italia,"yogur, limón, espinaca, sal, fresas, leche, lentejas","Receta deliciosa con yogur, limón, lentejas, leche.",57,difícil
Receta 398,almuerzo,España,"maíz, yogur, manzana, banano, frijoles, pimienta, soya, aguacate, mostaza","Receta deliciosa con mostaza, frijoles, maíz.",62,media
Receta 399,postre,India,"zanahoria, ajo, carne, pimienta, frijoles, yogur, mostaza, champiñones, aceite de oliva","Receta deliciosa con yogur, champiñones, pimienta, carne, frijoles, zanahoria.",34,fácil
Receta 400,cena,Japón,"salsa de tomate, pasta, mostaza, pepino, pescado, soya, huevo","Receta deliciosa con soya, huevo, pescado.",43,media
Receta 401,postre,China,"pollo, limón, mostaza, ajo, pasta, tomate, pan","Receta deliciosa con pan, ajo, tomate, pasta.",52,fácil
Receta 402,cena,Perú,"pan, mantequilla, vinagre, fresas, pera","Receta deliciosa con vinagre, mantequilla, pan, fresas.",53,media
Receta 403,almuerzo,Perú,"banano, maíz, carne, vinagre, pasta, aguacate, miel, fresas","Receta deliciosa con pasta, maíz, miel, vinagre, fresas.",65,media
Receta 404,sopa,Japón,"miel, yogur, zanahoria, aguacate, arroz, soya, aceite de oliva","Receta deliciosa con zanahoria, yogur, aceite de oliva.",110,media
Receta 405,snack,Italia,"salsa de tomate, papa, tomate, carne, pan, yogur, espinaca, leche, maíz, vinagre","Receta deliciosa con leche, vinagre, salsa de tomate, carne.",42,fácil
Receta 406,postre,Colombia,"limón, tomate, lentejas, carne, fresas","Receta deliciosa con fresas, lentejas, carne.",63,difícil
Receta 407,snack,México,"ajo, aceite de oliva, aguacate, miel, limón","Receta deliciosa con aceite de oliva, limón, ajo, aguacate, miel.",63,fácil
Receta 408,bebida,México,"leche, papa, mantequilla, sal, ajo, zanahoria, pasta, frijoles, manzana","Receta deliciosa con manzana, pasta, sal.",113,difícil
Receta 409,snack,Francia,"yogur, aceite de oliva, pera, limón, champiñones, cebolla, salsa de tomate, huevo, vinagre, pimienta","Receta deliciosa con aceite de oliva, champiñones, yogur, cebolla, pera, salsa de tomate.",27,fácil
Receta 410,sopa,Colombia,"aceite de oliva, frijoles, papa, limón, zanahoria, aguacate, maíz, pescado, salsa de tomate","Receta deliciosa con frijoles, maíz, papa, pescado, aguacate, salsa de tomate.",17,difícil
Receta 411,bebida,España,"pan, aguacate, salsa de tomate, vinagre, aceite de oliva","Receta deliciosa con vinagre, aguacate, aceite de oliva, salsa de tomate.",30,media
Receta 412,postre,España,"tomate, queso, espinaca, arroz, huevo","Receta deliciosa con huevo, espinaca, queso, tomate, arroz.",85,difícil
Receta 413,postre,Japón,"pepino, frijoles, salsa de tomate, pescado, aceite de oliva, pimienta","Receta deliciosa con aceite de oliva, pepino, salsa de tomate, pimienta, pescado.",29,media
Receta 414,cena,India,"soya, carne, miel, lentejas, pasta","Receta deliciosa con carne, lentejas, pasta, miel.",21,fácil
Receta 415,postre,EE.UU.,"miel, pollo, pera, fresas, leche, cebolla, banano, aceite de oliva, mantequilla, frijoles","Receta deliciosa con banano, leche, mantequilla.",56,difícil
Receta 416,ensalada,España,"pera, tomate, leche, ajo, vinagre, pollo, pescado","Receta deliciosa con tomate, vinagre, pera.",25,media
Receta 417,postre,Francia,"huevo, pera, champiñones, frijoles, ajo","Receta deliciosa con frijoles, ajo, huevo, pera, champiñones.",6,fácil
Receta 418,ensalada,Japón,"fresas, ajo, carne, tomate, soya","Receta deliciosa con soya, fresas, carne, ajo, tomate.",64,media
Receta 419,bebida,China,"vinagre, pasta, salsa de tomate, queso, espinaca, leche, tomate, ajo, manzana","Receta deliciosa con salsa de tomate, espinaca, manzana.",120,difícil
Receta 420,almuerzo,China,"mostaza, zanahoria, huevo, champiñones, yogur","Receta deliciosa con champiñones, mostaza, yogur, zanahoria, huevo.",68,difícil
Receta 421,postre,Francia,"aceite de oliva, pimienta, vinagre, carne, pera, fresas, arroz","Receta deliciosa con pimienta, aceite de oliva, pera, carne, vinagre, arroz.",19,fácil
Receta 422,ensalada,Colombia,"pimienta, zanahoria, pasta, soya, fresas, aguacate, sal, cebolla","Receta deliciosa con sal, cebolla, fresas, zanahoria.",110,media
Receta 423,postre,Italia,"espinaca, pan, maíz, aceite de oliva, pimienta","Receta deliciosa con pimienta, espinaca, aceite de oliva.",70,difícil
Receta 424,ensalada,China,"manzana, pescado, salsa de tomate, fresas, miel, mostaza, limón, arroz, sal","Receta deliciosa con arroz, miel, sal.",98,fácil
Receta 425,cena,Perú,"champiñones, yogur, huevo, aguacate, zanahoria, mostaza, manzana, miel","Receta deliciosa con mostaza, zanahoria, aguacate.",58,fácil
Receta 426,ensalada,Colombia,"soya, salsa de tomate, pescado, aceite de oliva, pimienta, pepino","Receta deliciosa con pescado, pepino, aceite de oliva, soya, salsa de tomate, pimienta.",72,fácil
Receta 427,bebida,Colombia,"pollo, miel, espinaca, arroz, pepino","Receta deliciosa con miel, pepino, pollo, espinaca, arroz.",42,fácil
Receta 428,bebida,Perú,"salsa de tomate, pollo, mostaza, queso, maíz, huevo","Receta deliciosa con salsa de tomate, maíz, pollo.",94,fácil
Receta 429,postre,India,"zanahoria, sal, pan, banano, mostaza, manzana, fresas, mantequilla, yogur","Receta deliciosa con mostaza, sal, fresas, banano, manzana, mantequilla.",61,media
Receta 430,bebida,EE.UU.,"miel, pan, limón, pescado, fresas, yogur, tomate","Receta deliciosa con tomate, limón, pescado, fresas.",63,difícil
Receta 431,almuerzo,Francia,"zanahoria, maíz, salsa de tomate, champiñones, huevo, papa","Receta deliciosa con champiñones, papa, maíz, huevo, zanahoria, salsa de tomate.",111,fácil
Receta 432,cena,Perú,"pan, zanahoria, mostaza, espinaca, maíz, miel, queso, mantequilla, soya, cebolla","Receta deliciosa con zanahoria, pan, cebolla, queso, maíz.",88,difícil
Receta 433,bebida,Perú,"mantequilla, aceite de oliva, pescado, huevo, pera, lentejas, banano, pollo","Receta deliciosa con pollo, mantequilla, huevo.",89,media
Receta 434,snack,Colombia,"cebolla, mantequilla, papa, aceite de oliva, manzana, pepino, pan","Receta deliciosa con mantequilla, papa, pepino.",65,difícil
Receta 435,cena,Japón,"sal, salsa de tomate, papa, aguacate, leche, pescado","Receta deliciosa con pescado, aguacate, papa, sal.",91,difícil
Receta 436,cena,México,"papa, pasta, manzana, soya, aguacate, leche, limón, pimienta, mostaza","Receta deliciosa con aguacate, manzana, pimienta, leche, soya.",54,media
Receta 437,postre,Perú,"fresas, maíz, pera, sal, salsa de tomate, papa, vinagre, lentejas","Receta deliciosa con salsa de tomate, papa, vinagre.",113,fácil
Receta 438,sopa,Perú,"pera, leche, cebolla, aceite de oliva, pescado, maíz, banano, carne, arroz","Receta deliciosa con carne, maíz, banano, cebolla, leche.",75,fácil
Receta 439,bebida,Perú,"pasta, pimienta, carne, aguacate, frijoles, mostaza, maíz","Receta deliciosa con mostaza, maíz, frijoles, pimienta, carne.",55,media
Receta 440,postre,China,"miel, salsa de tomate, frijoles, yogur, lentejas, soya","Receta deliciosa con frijoles, yogur, miel, salsa de tomate.",34,fácil
Receta 441,desayuno,Japón,"fresas, maíz, manzana, limón, miel, sal, pera, soya, champiñones, huevo","Receta deliciosa con champiñones, miel, fresas.",110,fácil
Receta 442,desayuno,EE.UU.,"maíz, pepino, arroz, espinaca, miel, pera, huevo, aguacate, salsa de tomate, cebolla","Receta deliciosa con pepino, cebolla, miel.",36,media
Receta 443,snack,Italia,"ajo, salsa de tomate, tomate, espinaca, vinagre, maíz","Receta deliciosa con tomate, ajo, salsa de tomate, maíz.",57,fácil
Receta 444,ensalada,Colombia,"ajo, papa, fresas, pimienta, sal, huevo, zanahoria","Receta deliciosa con fresas, ajo, sal.",14,fácil
Receta 445,desayuno,México,"pan, pasta, tomate, pera, maíz, miel, banano, champiñones, pollo","Receta deliciosa con champiñones, pollo, pan, miel, maíz.",99,fácil
Receta 446,postre,Japón,"fresas, zanahoria, papa, lentejas, leche, queso, huevo, pera, mantequilla, miel","Receta deliciosa con papa, leche, fresas.",63,difícil
Receta 447,ensalada,Japón,"pan, pasta, aceite de oliva, arroz, cebolla, pollo, manzana","Receta deliciosa con pan, pollo, cebolla, pasta, arroz.",72,media
Receta 448,ensalada,Colombia,"carne, limón, pasta, aceite de oliva, pescado, vinagre, papa, tomate, mostaza","Receta deliciosa con aceite de oliva, pescado, papa, tomate, mostaza.",120,media
Receta 449,bebida,España,"limón, miel, huevo, champiñones, manzana","Receta deliciosa con limón, huevo, miel.",62,difícil
Receta 450,bebida,Francia,"salsa de tomate, vinagre, limón, aguacate, carne","Receta deliciosa con limón, salsa de tomate, aguacate, vinagre, carne.",61,media
Receta 451,cena,Francia,"cebolla, leche, limón, zanahoria, pescado, soya","Receta deliciosa con leche, cebolla, soya, zanahoria, limón.",110,difícil
Receta 452,bebida,EE.UU.,"zanahoria, limón, lentejas, arroz, cebolla, salsa de tomate, pepino, papa","Receta deliciosa con papa, pepino, lentejas, arroz, salsa de tomate.",75,fácil
Receta 453,cena,Italia,"pera, mantequilla, pasta, zanahoria, pimienta","Receta deliciosa con pasta, mantequilla, pimienta, zanahoria, pera.",75,fácil
Receta 454,cena,México,"soya, miel, champiñones, yogur, zanahoria","Receta deliciosa con soya, miel, champiñones, yogur, zanahoria.",17,fácil
Receta 455,postre,España,"miel, pan, mantequilla, arroz, pollo, mostaza, pasta, espinaca","Receta deliciosa con miel, pollo, espinaca.",111,media
Receta 456,snack,EE.UU.,"arroz, aguacate, banano, lentejas, frijoles, mantequilla, huevo, ajo, miel, carne","Receta deliciosa con miel, huevo, banano, lentejas.",8,media
Receta 457,postre,EE.UU.,"cebolla, yogur, manzana, aceite de oliva, champiñones, tomate, pescado, pasta, carne","Receta deliciosa con champiñones, pescado, manzana, tomate, yogur, aceite de oliva.",43,media
Receta 458,cena,Colombia,"maíz, miel, pescado, pimienta, mantequilla","Receta deliciosa con miel, maíz, pimienta, mantequilla, pescado.",76,media
Receta 459,ensalada,EE.UU.,"pollo, mantequilla, soya, banano, vinagre, yogur, huevo, aceite de oliva","Receta deliciosa con yogur, pollo, banano, soya, mantequilla.",64,fácil
Receta 460,bebida,Colombia,"espinaca, maíz, arroz, pepino, frijoles","Receta deliciosa con espinaca, maíz, pepino, arroz.",116,fácil
Receta 461,snack,Colombia,"mostaza, manzana, tomate, ajo, fresas, aceite de oliva, maíz, soya","Receta deliciosa con mostaza, ajo, maíz.",24,difícil
Receta 462,ensalada,Italia,"sal, tomate, leche, mostaza, salsa de tomate","Receta deliciosa con tomate, salsa de tomate, mostaza, sal.",24,media
Receta 463,snack,Perú,"miel, lentejas, pimienta, espinaca, aguacate, mantequilla","Receta deliciosa con mantequilla, espinaca, aguacate.",91,fácil
Receta 464,ensalada,India,"leche, mantequilla, pescado, tomate, pera, fresas, espinaca, arroz","Receta deliciosa con fresas, pera, espinaca, leche, pescado, tomate.",116,difícil
Receta 465,desayuno,Japón,"mantequilla, pera, soya, fresas, limón, vinagre, manzana, champiñones, tomate, ajo","Receta deliciosa con ajo, tomate, mantequilla, limón, champiñones, soya.",87,media
Receta 466,almuerzo,Perú,"vinagre, limón, pimienta, cebolla, aceite de oliva, pera","Receta deliciosa con cebolla, aceite de oliva, vinagre, limón, pera.",76,fácil
Receta 467,cena,Francia,"frijoles, pollo, leche, pasta, salsa de tomate, pan","Receta deliciosa con leche, salsa de tomate, pan, pollo, pasta.",68,difícil
Receta 468,bebida,India,"tomate, soya, frijoles, espinaca, pescado, vinagre, aceite de oliva, miel, mostaza, huevo","Receta deliciosa con miel, huevo, mostaza, espinaca.",18,fácil
Receta 469,cena,Perú,"pera, huevo, salsa de tomate, leche, aceite de oliva, champiñones, aguacate","Receta deliciosa con pera, champiñones, leche, aceite de oliva, aguacate, huevo.",60,difícil
Receta 470,postre,México,"manzana, yogur, mantequilla, frijoles, aceite de oliva, sal, espinaca","Receta deliciosa con sal, mantequilla, espinaca, yogur.",111,difícil
Receta 471,bebida,Italia,"banano, mostaza, frijoles, pescado, pimienta, manzana, yogur, mantequilla","Receta deliciosa con frijoles, pescado, pimienta, yogur.",6,fácil
Receta 472,sopa,Perú,"pasta, soya, pescado, carne, pera, tomate, espinaca","Receta deliciosa con espinaca, tomate, pasta, pera, carne.",104,fácil
Receta 473,ensalada,Japón,"tomate, cebolla, leche, soya, pera, champiñones","Receta deliciosa con soya, champiñones, cebolla.",107,difícil
Receta 474,almuerzo,Francia,"aceite de oliva, pasta, limón, leche, soya, mostaza, champiñones, papa","Receta deliciosa con leche, papa, aceite de oliva, pasta, mostaza, soya.",112,media
Receta 475,bebida,Japón,"queso, yogur, cebolla, lentejas, manzana, miel, zanahoria","Receta deliciosa con zanahoria, miel, manzana.",33,fácil
Receta 476,postre,Francia,"leche, champiñones, papa, vinagre, miel, aceite de oliva","Receta deliciosa con miel, vinagre, aceite de oliva, leche, papa.",7,fácil
Receta 477,cena,EE.UU.,"tomate, pera, fresas, aceite de oliva, salsa de tomate, mostaza, banano, pescado, vinagre, miel","Receta deliciosa con pescado, pera, tomate, banano, mostaza, vinagre.",92,fácil
Receta 478,postre,Japón,"frijoles, limón, pimienta, manzana, ajo, mostaza, salsa de tomate","Receta deliciosa con mostaza, manzana, ajo, limón, frijoles, salsa de tomate.",58,difícil
Receta 479,ensalada,Italia,"soya, yogur, pasta, maíz, huevo","Receta deliciosa con huevo, soya, pasta, maíz.",81,difícil
Receta 480,sopa,México,"papa, pollo, fresas, vinagre, queso","Receta deliciosa con fresas, vinagre, pollo.",112,fácil
Receta 481,sopa,EE.UU.,"maíz, leche, fresas, vinagre, yogur, queso, soya, pan","Receta deliciosa con yogur, maíz, vinagre, soya.",49,fácil
Receta 482,bebida,Francia,"espinaca, fresas, vinagre, mostaza, aceite de oliva, champiñones, arroz, pera, huevo","Receta deliciosa con arroz, pera, espinaca, vinagre, fresas.",114,fácil
Receta 483,sopa,India,"fresas, maíz, cebolla, pan, salsa de tomate, vinagre, queso, mostaza, manzana, aguacate","Receta deliciosa con aguacate, pan, maíz, vinagre.",19,media
Receta 484,desayuno,México,"banano, manzana, mostaza, salsa de tomate, maíz, zanahoria, pera, frijoles, ajo","Receta deliciosa con ajo, mostaza, pera, frijoles.",103,fácil
Receta 485,bebida,México,"zanahoria, miel, leche, fresas, pollo, cebolla","Receta deliciosa con leche, fresas, zanahoria.",55,media
Receta 486,almuerzo,Japón,"carne, mantequilla, soya, frijoles, aceite de oliva, pescado, pan, ajo, limón","Receta deliciosa con mantequilla, carne, pescado, frijoles, pan.",114,fácil
Receta 487,desayuno,EE.UU.,"queso, zanahoria, pimienta, yogur, frijoles, ajo","Receta deliciosa con pimienta, queso, frijoles.",103,difícil
Receta 488,desayuno,Colombia,"pepino, soya, aguacate, pera, espinaca, sal","Receta deliciosa con aguacate, sal, soya, espinaca, pera, pepino.",106,difícil
Receta 489,sopa,España,"maíz, banano, manzana, pasta, leche, pollo, aceite de oliva","Receta deliciosa con aceite de oliva, pollo, manzana.",23,fácil
Receta 490,postre,México,"sal, pepino, salsa de tomate, arroz, espinaca, banano, cebolla","Receta deliciosa con banano, espinaca, salsa de tomate, sal.",62,difícil
Receta 491,almuerzo,Francia,"cebolla, espinaca, tomate, aceite de oliva, yogur, soya, salsa de tomate, pepino","Receta deliciosa con espinaca, pepino, aceite de oliva, soya, yogur, cebolla.",20,media
Receta 492,postre,China,"salsa de tomate, pera, vinagre, mostaza, mantequilla, pan","Receta deliciosa con salsa de tomate, pan, vinagre.",79,fácil
Receta 493,cena,EE.UU.,"pescado, pasta, soya, pimienta, champiñones, miel, pan, aceite de oliva, pera, carne","Receta deliciosa con pan, miel, champiñones.",62,difícil
Receta 494,ensalada,Francia,"aguacate, queso, sal, ajo, vinagre, pera, mostaza","Receta deliciosa con queso, aguacate, mostaza, pera, vinagre.",17,fácil
Receta 495,almuerzo,Francia,"pera, salsa de tomate, zanahoria, tomate, champiñones","Receta deliciosa con zanahoria, salsa de tomate, pera, champiñones, tomate.",32,fácil
Receta 496,desayuno,Colombia,"maíz, huevo, tomate, pan, champiñones","Receta deliciosa con pan, maíz, tomate, champiñones, huevo.",104,media
Receta 497,bebida,Japón,"huevo, cebolla, frijoles, pan, lentejas, manzana, pepino, arroz, soya","Receta deliciosa con arroz, manzana, pepino, soya.",12,fácil
Receta 498,snack,Italia,"cebolla, manzana, frijoles, banano, mantequilla, limón, huevo, sal, mostaza","Receta deliciosa con manzana, huevo, limón, mostaza, frijoles.",89,media
Receta 499,cena,Colombia,"pasta, espinaca, banano, mantequilla, yogur, pimienta, lentejas, huevo, pollo, soya","Receta deliciosa con pasta, huevo, pimienta.",72,difícil
Receta 500,postre,China,"carne, manzana, tomate, soya, pera, yogur, leche, mostaza, pescado","Receta deliciosa con pescado, pera, soya, manzana, carne.",107,difícil
Receta 501,desayuno,México,"champiñones, carne, mostaza, arroz, cebolla, pasta, queso, limón, miel, aceite de oliva","Receta deliciosa con arroz, champiñones, miel, pasta, limón.",117,difícil
Receta 502,cena,España,"soya, papa, leche, banano, arroz, vinagre, aguacate, mostaza","Receta deliciosa con leche, aguacate, banano.",37,difícil
Receta 503,snack,España,"arroz, manzana, huevo, aguacate, soya","Receta deliciosa con arroz, huevo, manzana, aguacate.",105,media
Receta 504,sopa,España,"queso, cebolla, soya, pimienta, ajo, vinagre, banano, pan, miel","Receta deliciosa con soya, banano, ajo, cebolla, miel, queso.",97,media
Receta 505,ensalada,India,"fresas, sal, salsa de tomate, lentejas, mantequilla, pan, tomate","Receta deliciosa con tomate, lentejas, salsa de tomate, fresas, sal, pan.",57,difícil
Receta 506,ensalada,Japón,"lentejas, banano, pollo, aguacate, espinaca, huevo, ajo, fresas, pepino","Receta deliciosa con lentejas, pepino, aguacate, huevo, banano.",44,media
Receta 507,snack,India,"maíz, carne, papa, leche, pepino, fresas, frijoles","Receta deliciosa con fresas, maíz, pepino, frijoles.",67,difícil
Receta 508,cena,India,"frijoles, mantequilla, huevo, pimienta, manzana, sal","Receta deliciosa con huevo, manzana, pimienta.",68,fácil
Receta 509,bebida,China,"arroz, manzana, carne, salsa de tomate, soya, vinagre, pescado, aguacate","Receta deliciosa con carne, pescado, soya, arroz, manzana.",106,fácil
Receta 510,postre,Italia,"espinaca, pescado, zanahoria, mostaza, frijoles, sal","Receta deliciosa con mostaza, frijoles, zanahoria.",79,fácil
Receta 511,almuerzo,Japón,"zanahoria, pera, mostaza, sal, pepino, fresas, arroz, champiñones, leche, banano","Receta deliciosa con mostaza, fresas, pera, banano, zanahoria.",53,media
